Name,RA,Dec,Distance,Period
PSR J1816-2649,274.1477,-26.8329,3.61,0.592885128
PSR J1623-2631,245.9093,-26.5316,1.8,0.011075751
PSR J1852-2610,283.2417,-26.1667,2.33,0.336339
PSR J1941-2602,295.2517,-26.035,4.74,0.402857769
PSR J1900-2600,285.1983,-26.012,1.71,0.612209195
PSR J1358-2533,209.675,-25.55,2.7,0.9129
PSR J1603-2531,240.7542,-25.5167,4.31,0.28307
PSR J1949-2524,297.3589,-25.4118,1.32,0.957615458
PSR J1753-2502,268.3772,-25.0264,10.24,0.528333224
PSR J1824-2452,276.1334,-24.8697,5.5,0.003054315
PSR J1801-2451,270.2508,-24.8575,4.61,0.124874452
PSR J1748-2446A,267.0094,-24.7771,7.1,0.011563148
PSR J1748-2446B,267.0147,-24.7664,3.91,0.442839
PSR J1756-2435,269.2413,-24.5931,4.95,0.670479898
PSR J1757-2421,269.4209,-24.3658,3.5,0.234094343
PSR J1652-2404,253.2434,-24.0676,3.09,1.70373904
PSR J1800-2343,270.013,-23.7185,4.38,1.03082
PSR J1555-2341,238.8882,-23.6865,4.61,0.53257765
PSR J1012-2337,153.1271,-23.6316,1.64,2.51794458
PSR J1744-2334,266.175,-23.5667,2.54,1.68345
PSR J1817-2312,274.2598,-23.1978,5.63,0.62547
PSR J1801-2306,270.3327,-23.1047,13.51,0.415775513
PSR J1730-2304,262.5901,-23.0727,0.51,0.008122798
PSR J1822-2256,275.7457,-22.947,3.43,1.874268476
PSR J1733-2228,263.3601,-22.4768,1.49,0.871682832
PSR J1759-2205,269.8495,-22.0951,3.55,0.460969062
PSR J1803-2137,270.964,-21.6187,3.94,0.133607638
PSR J1809-2109,272.3097,-21.1506,5.19,0.702412767
PSR J1808-2057,272.0265,-20.9639,7.38,0.918406471
PSR J1748-2021,267.2192,-20.3611,5.9,0.288602626
PSR J2330-2005,352.6117,-20.0913,0.49,1.643620954
PSR J1848-1952,282.075,-19.8738,0.96,4.308179262
PSR J1824-1945,276.0019,-19.7641,5.19,0.1893336
PSR J1041-1942,160.4009,-19.7038,3.18,1.386368046
PSR J1721-1936,260.258,-19.6039,11.6,1.004037129
PSR J1705-1906,256.4004,-19.1107,1.18,0.298987284
PSR J1703-1846,255.9628,-18.7709,1.98,0.804340552
PSR J0729-1836,112.3849,-18.6117,3.25,0.510158153
PSR J1820-1818,275.1629,-18.3009,8.46,0.309904578
PSR J0452-1759,73.1421,-17.9899,3.14,0.548937986
PSR J1829-1751,277.4297,-17.8508,5.52,0.307131499
PSR J1944-1750,296.0217,-17.837,5.3,0.841157262
PSR J0908-1739,137.1591,-17.6605,0.63,0.401625603
PSR J1812-1733,273.067,-17.556,6.5,0.538340265
PSR J1816-1729,274.0778,-17.4853,6.51,0.782311805
PSR J1812-1718,273.03,-17.3079,4.19,1.205361934
PSR J1651-1709,252.8823,-17.1556,1.51,0.973392081
PSR J1650-1654,252.5917,-16.9,2.38,1.74953
PSR J1018-1642,154.6683,-16.7028,3.27,1.804694418
PSR J1709-1640,257.3602,-16.6829,1.27,0.653054719
PSR J0152-1637,28.0453,-16.6314,0.79,0.832741453
PSR J0725-1637,111.2792,-16.6167,4.62,0.212156
PSR J1720-1633,260.1049,-16.5585,1.69,1.565599432
PSR J2048-1616,312.1478,-16.279,0.64,1.96156688
PSR J0758-1528,119.6211,-15.4692,3.74,0.682264336
PSR J1711-1509,257.9794,-15.1606,2.78,0.868803884
PSR J1825-1446,276.2624,-14.7805,5.42,0.279182015
PSR J0108-1431,17.0342,-14.5294,0.1,0.807564601
PSR J1818-1422,274.5991,-14.3766,8.14,0.29148821
PSR J1854-1421,283.6846,-14.3583,5.21,1.146592681
PSR J1848-1414,282.15,-14.2333,4.36,0.297772
PSR J1822-1400,275.7252,-14.0012,7.73,0.214770932
PSR J0944-1354,146.1206,-13.9115,0.7,0.570264103
PSR J1743-1351,265.9065,-13.8616,4.75,0.405338711
PSR J0820-1350,125.1098,-13.8487,2.46,1.238128107
PSR J1820-1346,275.0825,-13.7718,9.7,0.921458718
PSR J1826-1334,276.5549,-13.5798,4.12,0.101451361
PSR J1610-1322,242.6782,-13.3721,3.89,1.018392674
PSR J1659-1305,254.9711,-13.0855,4.44,0.640958005
PSR J1748-1300,267.0724,-13.0148,3.66,0.394132704
PSR J0450-1248,72.5366,-12.8019,3.27,0.438014127
PSR J1943-1237,295.8561,-12.6282,1.65,0.97242816
PSR J1311-1228,197.9694,-12.4669,2.3,0.447517666
PSR J1643-1224,250.909,-12.4163,4.86,0.004621641
PSR J1904-1224,286.1,-12.4,5.73,0.375402
PSR J1807-1200,271.6998,-11.9934,3.43,0.52276
PSR J1826-1131,276.5226,-11.5287,4.83,2.093135264
PSR J1824-1118,276.1228,-11.3103,7.77,0.435758272
PSR J1823-1115,275.9184,-11.2521,6.26,0.279828451
PSR J1835-1106,278.8458,-11.1,3.07,0.165906
PSR J1830-1059,277.699,-10.9863,3.63,0.405029725
PSR J1257-1027,194.2699,-10.4515,2.22,0.617307561
PSR J1832-1021,278.1704,-10.3595,6.42,0.33035356
PSR J1836-1008,279.2245,-10.1359,5.4,0.562705655
PSR J1827-0958,276.7731,-9.9788,6.16,0.245756903
PSR J1825-0935,276.3775,-9.5897,1.01,0.768979398
PSR J1623-0908,245.8238,-9.1467,3.86,1.276445745
PSR J1901-0907,285.4583,-9.1167,2.42,0.89095
PSR J1807-0847,271.9084,-8.7953,3.61,0.163727361
PSR J1741-0840,265.3439,-8.6757,3.5,2.0430824
PSR J1833-0827,278.418,-8.4585,5.67,0.085282878
PSR J1832-0827,278.1543,-8.451,4.75,0.64727924
PSR J1808-0813,272.0125,-8.2167,5.19,0.87604
PSR J2006-0807,301.568,-8.1173,1.99,0.580871332
PSR J2145-0750,326.4602,-7.8383,0.5,0.016052424
PSR J1804-0735,271.2079,-7.5902,3.1,0.023100855
PSR J1735-0724,263.7707,-7.4145,4.33,0.419334808
PSR J0034-0721,8.537,-7.3648,0.68,0.942950785
PSR J1025-0709,156.375,-7.15,0.35,0.00516221
PSR J1837-0653,279.3111,-6.8846,4.93,1.905808541
PSR J1835-0643,278.7732,-6.718,6.34,0.305821242
PSR J1849-0636,282.2807,-6.6163,3.66,1.451292579
PSR J0151-0635,27.8448,-6.5842,1.93,1.464664452
PSR J1903-0632,285.9174,-6.5336,8.79,0.431884719
PSR J1543-0620,235.8757,-6.3459,1.16,0.709063991
PSR J2347-0612,356.7708,-6.2,1.95,1.18145
PSR J1844-0538,281.0213,-5.6426,6.16,0.255697129
PSR J0034-0534,8.5909,-5.5768,0.98,0.001877182
PSR J0601-0527,90.4958,-5.464,7.54,0.395969057
PSR J1913-0440,288.4757,-4.6799,3.22,0.82593369
PSR J1836-0436,279.2158,-4.6103,4.62,0.354236145
PSR J1845-0434,281.3948,-4.5763,4.72,0.162249414
PSR J1844-0433,281.1394,-4.5535,2.79,0.991025728
PSR J1820-0427,275.2193,-4.4607,2.1,0.598072639
PSR J1834-0426,278.6058,-4.443,2.29,0.290106203
PSR J1841-0425,280.2736,-4.422,5.16,0.186145156
